ÐòºÅ,gender,age,educationalbacground,judge,IS1,IS2,SM1(WEIBO),SM2(REDBOOK),SM3(TIKTOK),SM4(KAUISHOU),SM5(WECHAT),Print Media,Mass Media,Personal Network,LLM,IL1,TIL1,IL2,TIL2,IL3,TIL3,IA1,TIA1,IA2,TIA2,IA3,TIA3,ID1,TID1,ID2,TID2,ID3,TID3
81,1,2,4,1,4,4,1,5,1,1,3,6,5,5,6,5,5,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,3
82,1,4,3,1,3,4,2,6,5,1,2,3,6,4,3,1,1,2,3,2,1,1,2,2,4,3,3,4,2,2,1,2,3
83,1,4,2,1,4,2,6,4,6,6,3,6,1,6,3,5,5,4,5,5,3,5,4,5,3,4,4,5,5,4,3,5,4
84,1,2,2,1,4,4,1,6,6,2,3,1,4,4,4,4,4,5,5,5,5,3,3,3,5,4,4,5,3,5,4,4,5
85,1,5,3,1,3,5,1,4,5,2,3,3,4,5,6,5,4,3,4,5,5,5,4,4,5,4,4,4,4,4,5,3,4
86,2,2,3,1,4,3,4,3,6,1,5,3,6,6,2,1,2,2,1,2,2,3,3,2,4,3,2,1,4,2,4,2,2
87,1,5,2,1,2,2,2,4,5,6,5,6,1,5,6,3,3,5,5,5,3,4,4,3,5,5,4,5,3,5,4,4,4
88,1,5,1,1,5,5,1,6,1,6,5,1,2,4,2,4,3,4,3,4,5,3,3,5,5,5,4,5,4,3,5,4,5
89,2,3,3,1,3,1,6,4,6,2,3,1,5,4,4,1,3,3,1,3,3,1,1,2,1,3,1,4,3,4,2,1,1
90,1,2,1,1,4,3,5,3,3,1,2,4,5,5,2,5,4,4,4,3,4,5,5,3,4,4,3,4,5,5,5,5,4
91,2,3,3,1,3,4,6,3,6,1,6,6,4,4,4,4,5,5,4,4,4,5,5,5,3,5,5,5,5,5,4,3,5
92,2,2,4,1,2,5,5,3,1,1,5,3,1,5,2,3,5,5,4,5,3,4,5,3,5,4,5,4,3,4,3,4,4
93,2,1,2,1,2,5,6,3,3,5,6,2,2,6,3,4,5,3,4,4,4,5,5,5,5,4,5,4,3,4,5,4,5
94,1,2,4,1,5,5,1,3,3,5,1,6,4,4,1,5,4,5,4,3,5,4,5,5,5,4,5,3,5,5,4,4,5
95,2,3,3,1,3,4,1,5,6,2,2,6,5,4,2,5,5,5,4,5,5,4,4,4,5,4,4,5,5,4,5,5,5
96,2,4,3,1,1,5,5,1,5,6,5,2,4,1,2,4,5,5,4,3,5,4,4,4,5,5,5,5,4,4,5,5,4
97,2,5,2,1,2,5,6,4,3,6,3,4,6,4,2,5,4,4,5,4,3,4,5,5,5,4,4,4,3,4,4,5,4
98,1,6,3,1,5,3,1,4,3,5,3,1,2,5,1,1,1,1,2,1,3,2,1,3,1,2,2,2,1,3,3,3,2
99,2,4,3,1,5,1,5,4,2,1,5,6,2,4,2,4,4,5,4,3,5,4,3,4,5,3,4,4,5,4,5,4,5
100,1,4,3,1,2,3,5,4,4,1,2,3,5,4,1,5,3,4,4,4,4,5,4,4,4,3,5,3,4,5,4,3,5
101,1,2,4,1,5,1,1,6,4,6,3,1,2,2,1,5,5,4,4,4,5,4,4,4,5,4,4,4,4,3,5,4,4
102,2,3,4,1,4,5,6,6,3,3,3,6,1,5,2,4,4,4,4,4,5,4,5,4,3,4,5,5,3,4,5,5,4
103,1,3,4,1,2,5,5,3,3,4,3,2,1,5,1,4,4,5,5,4,4,5,5,3,3,5,5,5,3,5,5,5,3
104,2,3,2,1,5,3,2,2,5,2,1,6,1,6,1,3,3,3,2,2,3,3,2,2,2,3,2,3,1,1,2,1,1
105,1,3,3,1,4,5,2,6,3,2,2,6,1,1,3,3,3,5,4,4,5,5,5,4,5,3,5,5,5,5,5,5,4
106,1,3,3,1,3,2,6,6,6,5,6,4,5,5,2,4,4,5,5,5,4,5,5,4,4,5,4,4,5,4,5,5,4
107,2,3,4,1,4,5,6,6,5,2,6,1,4,4,2,3,5,5,3,4,5,5,5,5,4,4,4,5,5,5,3,5,3
108,2,4,1,1,3,4,2,4,6,5,4,6,3,5,2,5,5,4,4,3,5,5,4,5,3,5,4,5,4,4,5,3,5
109,1,2,4,1,4,5,1,6,6,6,2,2,5,6,1,3,4,5,4,5,4,4,5,4,3,4,5,5,3,5,5,5,4
110,1,3,4,1,2,3,5,6,1,1,2,2,4,5,4,5,4,4,4,4,3,5,4,4,5,5,5,4,4,4,5,4,5
111,2,3,4,1,4,1,2,3,3,6,6,3,4,5,2,4,5,4,3,3,5,4,4,5,3,4,3,4,5,5,4,4,5
112,2,3,4,1,4,1,5,4,3,5,6,3,1,4,3,4,4,4,4,5,5,3,4,5,4,4,5,5,4,3,3,5,4
113,1,3,3,1,4,5,1,3,3,6,4,3,5,4,1,5,4,5,5,4,4,4,5,4,3,4,3,4,5,5,5,5,5
114,1,2,3,1,3,3,6,6,6,5,5,3,5,4,1,4,4,4,5,3,4,5,4,5,4,5,4,4,4,5,5,5,5
115,2,3,3,1,2,5,1,6,5,5,4,6,1,5,1,2,2,3,1,1,1,3,3,1,4,2,3,1,2,1,1,3,4
116,1,2,3,1,3,1,6,6,1,2,2,3,2,2,3,4,5,5,5,3,4,4,5,5,4,3,4,3,3,3,4,5,4
117,1,4,5,1,3,4,6,3,6,6,6,1,4,4,2,5,4,3,4,5,5,5,4,5,4,4,5,4,4,4,4,5,4
118,2,1,2,1,2,3,1,6,2,4,3,2,1,5,1,5,5,5,3,4,4,4,5,4,5,4,3,5,4,4,3,5,5
119,2,4,2,1,3,4,1,6,6,6,2,1,1,4,1,4,3,4,3,4,5,5,5,4,3,4,5,3,5,3,5,5,5
120,1,3,4,1,4,4,5,6,6,4,4,3,2,4,2,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5,3,4,5
121,1,6,2,1,3,5,6,5,6,2,2,1,6,4,5,5,4,4,4,4,5,5,5,3,5,3,5,4,5,5,4,5,4
122,2,3,3,1,5,5,4,6,6,5,4,2,4,4,5,5,5,5,5,4,4,5,4,2,2,4,3,4,5,4,4,4,4
123,1,5,2,1,4,5,5,5,5,4,5,3,2,6,3,5,4,2,4,4,4,4,5,3,4,3,2,3,4,5,4,3,5
124,1,3,3,1,4,4,6,4,5,3,4,2,4,4,5,4,4,4,5,4,2,5,5,4,5,2,4,4,5,4,4,4,4
125,1,4,3,1,4,5,5,4,5,3,5,5,3,6,5,5,3,4,4,3,4,4,3,4,4,5,5,5,4,4,4,5,5
126,1,3,4,1,4,3,4,1,6,6,2,6,1,5,2,2,2,1,1,1,4,1,3,1,3,2,3,2,1,2,3,2,2
127,1,4,2,1,3,5,2,3,6,5,2,6,2,5,1,3,4,4,5,4,5,3,4,4,4,5,5,5,5,4,4,5,4
128,2,2,4,1,3,3,1,3,6,1,3,5,6,5,1,5,5,4,4,4,4,5,5,4,3,4,3,5,5,5,4,3,4
129,1,3,3,1,3,4,6,6,6,2,3,2,2,5,6,4,3,4,4,5,3,4,5,5,5,4,4,4,3,3,4,4,4
130,2,2,1,1,2,4,5,6,4,5,4,3,3,5,3,4,5,4,5,5,2,4,5,5,4,5,4,3,4,4,5,4,4
131,2,6,3,1,3,4,5,5,2,2,6,3,4,5,5,4,4,3,3,5,4,4,5,4,4,5,5,3,5,4,4,4,4
132,2,3,3,1,4,3,1,1,2,3,3,6,1,4,3,4,4,5,5,5,5,4,4,5,5,5,5,5,4,4,3,3,4
133,1,4,4,1,4,4,2,5,6,4,5,2,3,6,2,2,4,5,4,4,4,4,5,5,4,4,4,5,5,4,5,5,3
134,1,5,2,1,1,2,6,4,6,4,2,3,5,6,3,4,5,5,4,4,4,5,5,4,5,4,5,5,4,5,5,5,3
135,2,5,2,1,4,5,3,6,6,5,5,5,1,4,1,4,4,4,1,1,1,1,1,3,2,2,2,2,1,1,1,3,2
136,2,4,2,1,3,5,6,3,3,4,6,1,5,6,4,4,4,4,3,5,3,5,4,3,3,4,3,5,5,3,3,4,4
137,1,5,2,1,4,4,5,4,6,6,5,4,2,5,6,2,4,4,4,5,5,5,4,4,3,2,4,5,5,5,4,4,2
138,2,4,1,1,4,4,5,4,6,5,5,3,2,5,5,4,5,2,3,5,4,4,5,4,4,4,4,3,4,4,4,5,3
139,2,2,4,1,4,3,5,4,6,5,4,3,3,5,4,4,4,5,5,4,4,5,2,5,5,4,4,5,5,3,4,3,3
140,2,2,3,1,5,4,5,4,6,4,4,3,2,5,4,3,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,3,2
141,1,2,3,1,5,5,6,4,5,4,4,2,3,6,6,5,5,4,2,5,3,5,4,5,4,5,5,4,5,5,5,5,4
142,1,1,2,1,5,4,1,3,6,6,6,6,4,2,2,5,4,4,4,5,3,4,5,3,4,4,4,4,4,5,5,5,4
143,2,3,2,1,3,4,6,3,5,6,2,1,4,2,2,5,4,4,5,5,5,5,5,4,3,5,4,4,4,4,4,5,4
144,1,1,1,1,4,2,6,1,3,3,6,1,6,4,2,5,5,5,4,5,4,5,3,5,4,4,4,4,4,5,3,5,4
145,2,2,3,1,5,3,3,4,4,5,5,2,3,5,3,5,5,5,3,3,4,2,5,5,5,5,5,2,4,3,4,3,4
146,2,4,2,1,5,5,5,3,4,4,5,2,2,5,5,5,4,2,5,4,4,4,4,5,4,4,4,3,5,4,5,5,4
147,2,5,4,1,4,4,3,4,2,4,6,2,1,2,5,4,4,5,5,4,4,2,5,5,4,3,2,4,5,3,4,3,4
148,2,2,4,1,4,1,1,3,3,1,6,6,6,5,3,4,5,4,5,5,4,3,4,5,3,5,4,5,4,4,4,5,4
149,2,4,4,1,3,3,6,1,6,1,5,3,1,5,1,5,4,5,5,5,4,5,3,5,3,5,5,5,4,4,3,3,5
150,1,3,4,1,4,4,6,6,3,6,3,2,5,5,3,3,1,2,4,2,3,1,3,1,2,3,1,1,3,3,1,2,2
151,2,2,2,1,5,5,6,5,2,2,5,4,3,4,6,4,5,4,4,5,4,5,5,4,3,4,5,4,3,5,3,3,4
152,1,1,2,1,4,4,6,4,4,6,3,2,2,5,4,4,4,5,5,2,2,4,5,4,5,4,4,5,5,4,3,5,3
153,2,5,1,1,4,2,5,4,2,4,4,3,2,3,5,4,3,5,2,4,5,4,4,4,4,4,4,3,5,5,5,5,4
154,2,2,1,1,4,4,5,4,3,5,5,4,3,5,6,4,4,5,2,4,4,4,5,3,5,4,3,4,5,5,4,4,5
155,1,6,2,1,4,5,4,5,5,6,5,2,2,6,4,5,4,3,2,5,5,5,5,4,4,3,5,4,5,2,3,4,4
156,2,3,4,1,1,1,6,3,6,1,4,2,1,6,1,5,5,5,5,4,4,4,3,5,4,5,4,4,4,4,4,3,4
157,2,2,2,1,3,3,2,6,4,6,4,1,2,5,6,5,4,5,5,4,5,5,5,2,4,3,5,4,5,3,3,5,2
158,1,2,2,1,5,5,5,5,6,3,2,2,2,4,6,3,5,4,4,5,5,3,5,5,4,3,4,4,4,4,4,5,2
159,2,5,2,1,4,4,2,5,6,4,5,2,2,5,6,4,4,5,4,4,5,4,5,4,4,5,5,5,4,4,3,5,3
160,2,4,2,1,4,3,6,4,5,4,3,3,3,5,5,3,4,5,4,5,4,4,2,4,4,4,4,2,2,4,4,4,2
161,2,4,4,1,3,4,2,6,5,2,4,1,1,5,4,3,5,4,4,5,4,5,5,5,5,4,3,5,4,3,5,4,4
162,2,2,3,1,2,3,6,5,1,5,2,3,6,5,6,5,4,4,5,5,4,3,5,4,4,5,5,5,5,5,4,5,4
163,2,2,2,1,5,2,4,5,5,4,5,5,2,4,3,4,5,5,5,5,4,5,4,4,4,5,5,3,5,4,5,4,4
164,2,6,1,1,4,5,6,3,5,4,5,3,5,5,5,5,4,5,4,5,5,2,4,4,4,5,4,4,5,3,4,4,4
165,1,3,3,1,4,3,4,4,4,5,4,5,3,3,4,5,4,5,3,4,3,3,5,4,4,5,4,4,2,5,4,4,4
166,1,3,2,1,2,2,5,4,5,5,5,3,3,4,5,5,4,5,4,3,4,4,5,4,4,4,5,4,3,3,4,4,3
167,1,4,2,1,5,4,1,3,6,6,3,6,6,5,3,3,4,5,4,5,5,5,4,4,3,4,5,3,4,4,5,4,5
168,1,5,4,1,5,4,5,3,3,1,5,6,6,5,2,5,5,5,5,4,5,3,4,4,3,5,5,5,5,4,4,5,4
169,1,2,3,1,4,5,6,5,4,4,5,3,3,5,4,4,3,5,5,4,5,4,4,4,4,2,5,5,4,3,5,5,4
