ÐòºÅ,gender,age,educationalbacground,judge,IS1,IS2,SM1(WEIBO),SM2(REDBOOK),SM3(TIKTOK),SM4(KAUISHOU),SM5(WECHAT),Print Media,Mass Media,Personal Network,LLM,IL1,TIL1,IL2,TIL2,IL3,TIL3,IA1,TIA1,IA2,TIA2,IA3,TIA3,ID1,TID1,ID2,TID2,ID3,TID3
398,2,4,3,1,4,3,1,5,6,1,2,1,2,4,4,2,4,2,2,3,2,3,2,3,1,2,1,2,2,1,2,2,3
399,2,2,2,1,2,3,6,6,3,1,4,2,2,4,3,4,5,4,3,5,3,3,4,4,5,4,4,5,5,4,5,5,4
400,1,4,3,1,4,5,4,3,6,3,6,3,2,4,1,5,4,4,4,4,5,5,5,5,5,5,4,5,3,5,5,4,3
401,1,4,3,1,3,5,4,1,5,1,3,3,1,2,2,4,5,5,4,5,5,4,5,3,4,5,4,5,4,3,5,3,3
402,2,1,1,1,5,5,2,1,3,4,6,1,6,4,4,1,3,1,4,2,2,4,2,1,1,1,1,2,4,1,2,1,2
403,2,2,1,1,3,2,6,6,3,1,3,6,1,6,1,2,1,2,4,1,2,2,4,3,2,1,2,1,1,1,3,2,2
404,1,3,3,1,3,1,1,4,6,6,3,6,4,6,3,4,3,4,5,5,4,5,4,5,3,4,4,5,4,5,5,5,5
405,1,4,4,1,4,1,5,4,5,1,5,1,5,2,2,5,5,4,4,4,3,3,5,4,4,4,4,5,3,4,4,4,5
406,2,3,4,1,4,2,5,5,1,1,2,6,6,2,4,5,5,4,3,5,4,5,5,5,5,5,5,5,5,4,5,5,5
407,2,2,4,1,4,5,2,5,6,1,1,6,4,4,3,5,5,5,5,5,5,3,5,4,3,5,4,5,5,5,5,5,5
408,2,3,3,1,4,3,2,3,6,1,1,1,6,4,2,5,4,4,5,4,3,5,5,3,5,4,5,5,5,4,4,3,4
409,1,4,3,1,1,4,6,4,3,1,4,1,1,5,3,5,5,5,4,3,5,4,5,5,3,3,3,4,4,3,5,4,5
410,1,4,3,1,2,1,1,1,2,4,6,6,4,4,4,5,5,4,4,4,4,3,3,5,5,4,5,5,5,5,4,5,5
411,1,1,2,1,3,1,1,6,3,1,2,6,5,5,1,5,5,4,4,5,5,4,5,3,5,4,3,5,3,5,5,3,4
412,2,5,2,1,4,1,5,3,5,6,3,6,6,5,6,5,5,5,3,4,3,5,5,5,5,4,4,5,4,4,4,4,4
